Index,Topic,Value
1.15.2,Title,"Cute Baby Panda Wearing Purple Tshirt 8"""
1.15.3,Price,499
1.15.4,Link,https://www.daraz.com.np/products/cute-baby-panda-wearing-purple-tshirt-8-i108464067-s1029273936.html?search=1
1.16.1,Search_Query,pandas
1.16.2,Title,Ballerina Panda and 70 Hearts Wall Stickers
1.16.3,Price,499
1.16.4,Link,https://www.daraz.com.np/products/ballerina-panda-and-70-hearts-wall-stickers-i118118282-s1032386026.html?search=1
1.17.1,Search_Query,pandas
1.17.2,Title,Dolls Creative Couples Giant Panda Dolls Cute Big Eyes Panda Plush Toys
1.17.3,Price,555
1.17.4,Link,https://www.daraz.com.np/products/dolls-creative-couples-giant-panda-dolls-cute-big-eyes-panda-plush-toys-i113475786-s1030848119.html?search=1
1.18.1,Search_Query,pandas
1.18.2,Title,Dolls Creative Couples Giant Panda Dolls Cute Big Eyes Panda Plush Toys
1.18.3,Price,599
1.18.4,Link,https://www.daraz.com.np/products/dolls-creative-couples-giant-panda-dolls-cute-big-eyes-panda-plush-toys-i105842001-s1027679020.html?search=1
1.19.1,Search_Query,pandas
1.19.2,Title,Dolls Creative Couples Giant Panda Dolls Cute Big Eyes Panda Plush Toys
1.19.3,Price,599
1.19.4,Link,https://www.daraz.com.np/products/dolls-creative-couples-giant-panda-dolls-cute-big-eyes-panda-plush-toys-i105821027-s1027650691.html?search=1
1.20.1,Search_Query,pandas
1.20.2,Title,Panda Bear 5 Piece Wall Sticker Set 60cm x 60cm
1.20.3,Price,599
1.20.4,Link,https://www.daraz.com.np/products/panda-bear-5-piece-wall-sticker-set-60cm-x-60cm-i109769910-s1029719899.html?search=1
1.21.1,Search_Query,pandas
1.21.2,Title,White/Black Baby Panda 20/20 0.2
1.21.3,Price,600
1.21.4,Link,https://www.daraz.com.np/products/whiteblack-baby-panda-2020-02-i109092361-s1029462984.html?search=1
1.22.1,Search_Query,pandas
1.22.2,Title,White/Black Panda Shaped Stuffed Doll
1.22.3,Price,750
1.22.4,Link,https://www.daraz.com.np/products/whiteblack-panda-shaped-stuffed-doll-i113473238-s1030829948.html?search=1
1.23.1,Search_Query,pandas
1.23.2,Title,Fluffy Super Soft Teddy Cute Panda Soft Toy For Kids
1.23.3,Price,799
1.23.4,Link,https://www.daraz.com.np/products/fluffy-super-soft-teddy-cute-panda-soft-toy-for-kids-i106296178-s1028017336.html?search=1
1.24.1,Search_Query,pandas
1.24.2,Title,Cute Little Animals Panda On Bamboo Trees Wall Sticker-110*115Cm
1.24.3,Price,850
1.24.4,Link,https://www.daraz.com.np/products/cute-little-animals-panda-on-bamboo-trees-wall-sticker-110115cm-i100218163-s1020473166.html?search=1
1.25.1,Search_Query,pandas
1.25.2,Title,Baby And Children's Cute Animals Wall Stickers Cartoon Giraffe Panda Bird Money Plants Flowers Wallpaper Decorative Decals DIY Art Mural for Kids Bedroom 90cm(H) x 120cm(W)
1.25.3,Price,899
1.25.4,Link,https://www.daraz.com.np/products/baby-and-childrens-cute-animals-wall-stickers-cartoon-giraffe-panda-bird-money-plants-flowers-wallpaper-decorative-decals-diy-art-mural-for-kids-bedroom-90cmh-x-120cmw-i109736343-s1029726166.html?search=1
1.26.1,Search_Query,pandas
1.26.2,Title,The Universe of Pandas Wall Sticker 107cm x 107cm
1.26.3,Price,899
1.26.4,Link,https://www.daraz.com.np/products/the-universe-of-pandas-wall-sticker-107cm-x-107cm-i110137800-s1029827323.html?search=1
1.27.1,Search_Query,pandas
1.27.2,Title,White/Black Panda Doll
1.27.3,Price,900
1.27.4,Link,https://www.daraz.com.np/products/whiteblack-panda-doll-i107764168-s1029017422.html?search=1
1.28.1,Search_Query,pandas
1.28.2,Title,White/Black Panda With Pink T-Shirts 30/20 0.3
1.28.3,Price,900
1.28.4,Link,https://www.daraz.com.np/products/whiteblack-panda-with-pink-t-shirts-3020-03-i109101206-s1029466697.html?search=1
1.29.1,Search_Query,pandas
1.29.2,Title,Pandas Hugs Wall Sticker 90cm(H) x 70cm(W)
1.29.3,Price,950
1.29.4,Link,https://www.daraz.com.np/products/pandas-hugs-wall-sticker-90cmh-x-70cmw-i110038412-s1029790792.html?search=1
1.30.1,Search_Query,pandas
1.30.2,Title,Pandas Acrobats in the Stars Wall Stickers 105cm(H) x 135cm(W)
1.30.3,Price,950
1.30.4,Link,https://www.daraz.com.np/products/pandas-acrobats-in-the-stars-wall-stickers-105cmh-x-135cmw-i109960622-s1029770738.html?search=1
1.31.1,Search_Query,pandas
1.31.2,Title,Panda Doll 15 Inches Soft & Cuddly Stuffed Toys
1.31.3,Price,976
1.31.4,Link,https://www.daraz.com.np/products/panda-doll-15-inches-soft-cuddly-stuffed-toys-i105886580-s1027799083.html?search=1
1.32.1,Search_Query,pandas
1.32.2,Title,Blue 50cm Panda Superman
1.32.3,Price,1105
1.32.4,Link,https://www.daraz.com.np/products/blue-50cm-panda-superman-i114458541-s1031087116.html?search=1
1.33.1,Search_Query,pandas
1.33.2,Title,Black/White 40cm Item Mix-4 Panda Doll
1.33.3,Price,1155
1.33.4,Link,https://www.daraz.com.np/products/blackwhite-40cm-item-mix-4-panda-doll-i114472129-s1031093023.html?search=1
1.34.1,Search_Query,pandas
1.34.2,Title,Navy Blue/Red 50cm Panda Avenger-4
1.34.3,Price,1165
1.34.4,Link,https://www.daraz.com.np/products/navy-bluered-50cm-panda-avenger-4-i114416547-s1031070144.html?search=1
1.35.1,Search_Query,pandas
1.35.2,Title,Stuffed Panda Toy
1.35.3,Price,1199
1.35.4,Link,https://www.daraz.com.np/products/stuffed-panda-toy-i117239138-s1032111348.html?search=1
1.36.1,Search_Query,pandas
1.36.2,Title,Dolls Creative Couples Giant Panda Dolls Cute Big Eyes Panda Plush Toys
1.36.3,Price,1500
1.36.4,Link,https://www.daraz.com.np/products/dolls-creative-couples-giant-panda-dolls-cute-big-eyes-panda-plush-toys-i112924025-s1030658179.html?search=1
1.37.1,Search_Query,pandas
1.37.2,Title,Taddy Bear Panda
1.37.3,Price,1799
1.37.4,Link,https://www.daraz.com.np/products/taddy-bear-panda-i113608548-s1030895911.html?search=1
1.38.1,Search_Query,pandas
1.38.2,Title,Panda Toy-200Cm
1.38.3,Price,3749
1.38.4,Link,https://www.daraz.com.np/products/panda-toy-200cm-i103394026-s1024100791.html?search=1
1.39.1,Search_Query,pandas
1.39.2,Title,Panda Stuffed Toy - 5.5 Feet
1.39.3,Price,4499
1.39.4,Link,https://www.daraz.com.np/products/panda-stuffed-toy-55-feet-i115630822-s1031606846.html?search=1
1.40.1,Search_Query,pandas
1.40.2,Title,4 feet Korean Teddy Panda For Everyone
1.40.3,Price,4850
1.40.4,Link,https://www.daraz.com.np/products/4-feet-korean-teddy-panda-for-everyone-i113617472-s1030907023.html?search=1
